iter	Passed	Remaining
0	165	165052
1	166	82867
2	166	55409
3	167	41675
4	168	33485
5	169	28152
6	171	24305
7	172	21433
8	173	19109
9	174	17246
10	174	15722
11	175	14452
12	176	13383
13	177	12466
14	177	11684
15	178	10995
16	179	10378
17	180	9829
18	180	9337
19	181	8893
20	182	8514
21	183	8157
22	184	7830
23	185	7525
24	185	7245
25	186	6984
26	187	6741
27	187	6516
28	188	6309
29	189	6113
30	189	5930
31	190	5758
32	191	5605
33	192	5457
34	192	5315
35	193	5180
36	194	5051
37	194	4930
38	195	4815
39	196	4709
40	197	4618
41	198	4526
42	199	4431
43	199	4341
44	200	4253
45	201	4171
46	201	4092
47	202	4015
48	203	3943
49	203	3872
50	204	3805
51	205	3740
52	205	3678
53	206	3617
54	207	3559
55	207	3502
56	208	3448
57	209	3395
58	209	3344
59	210	3296
60	211	3250
61	211	3206
62	213	3171
63	213	3128
64	214	3086
65	215	3046
66	215	3006
67	216	2968
68	217	2930
69	217	2894
70	218	2859
71	219	2824
72	219	2791
73	220	2759
74	221	2727
75	221	2696
76	222	2665
77	223	2636
78	223	2607
79	224	2579
80	224	2551
81	225	2527
82	226	2499
83	226	2474
84	227	2450
85	228	2425
86	228	2402
87	229	2379
88	230	2356
89	230	2334
90	231	2312
91	232	2291
92	232	2270
93	233	2250
94	234	2229
95	234	2210
96	235	2190
97	235	2171
98	236	2153
99	237	2134
100	237	2117
101	238	2099
102	239	2082
103	239	2066
104	240	2049
105	241	2034
106	241	2019
107	242	2003
108	243	1987
109	243	1972
110	244	1957
111	244	1942
112	245	1927
113	246	1912
114	246	1898
115	247	1885
116	247	1870
117	248	1857
118	249	1843
119	249	1830
120	250	1817
121	250	1804
122	251	1791
123	251	1779
124	252	1767
125	253	1755
126	253	1743
127	254	1731
128	254	1720
129	255	1709
130	256	1698
131	256	1688
132	257	1677
133	257	1667
134	258	1656
135	259	1646
136	259	1636
137	260	1626
138	261	1616
139	261	1607
140	262	1597
141	262	1586
142	263	1577
143	263	1568
144	264	1559
145	265	1550
146	265	1541
147	266	1532
148	266	1523
149	267	1514
150	267	1506
151	268	1498
152	269	1489
153	269	1482
154	270	1474
155	271	1466
156	271	1458
157	272	1451
158	273	1444
159	273	1436
160	274	1427
161	274	1420
162	275	1413
163	275	1405
164	276	1398
165	277	1391
166	277	1385
167	278	1378
168	278	1371
169	279	1364
170	280	1357
171	280	1351
172	281	1344
173	281	1338
174	282	1331
175	283	1325
176	283	1319
177	284	1312
178	284	1306
179	285	1300
180	286	1294
181	286	1289
182	287	1283
183	288	1277
184	288	1271
185	289	1265
186	289	1260
187	290	1254
188	291	1248
189	291	1243
190	292	1237
191	292	1232
192	293	1226
193	294	1221
194	294	1216
195	295	1211
196	295	1206
197	296	1201
198	297	1195
199	297	1190
200	298	1185
201	298	1180
202	299	1175
203	300	1171
204	300	1166
205	301	1162
206	302	1158
207	303	1155
208	304	1150
209	304	1145
210	305	1141
211	305	1136
212	306	1132
213	307	1127
214	307	1123
215	308	1119
216	308	1114
217	309	1110
218	310	1105
219	310	1101
220	311	1097
221	311	1093
222	312	1088
223	313	1084
224	313	1080
225	314	1076
226	315	1072
227	315	1069
228	316	1065
229	317	1062
230	318	1058
231	318	1054
232	319	1050
233	319	1046
234	320	1042
235	321	1039
236	321	1035
237	322	1031
238	322	1027
239	323	1024
240	323	1020
241	324	1016
242	325	1012
243	325	1009
244	326	1005
245	327	1002
246	327	998
247	328	995
248	328	991
249	329	987
250	329	984
251	330	981
252	331	978
253	332	976
254	333	973
